Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Approval Date,Origin
Haroeris,Ganymede,70.00,28.53,296.82,"Planetographic, +West, 0 - 360",Approved,2000,"Egyptian sky god whose eyes are the sun and the moon, a form of Horus."
Harpagia Sulcus,Ganymede,1400.00,-11.80,313.50,"Planetographic, +West, 0 - 360",Approved,1985,Greek; where Ganymede was abducted an eagle.
Hathor,Ganymede,173.00,-66.90,268.74,"Planetographic, +West, 0 - 360",Approved,1979,Egyptian goddess of joy and love.
Hay-tau,Ganymede,27.00,14.44,133.13,"Planetographic, +West, 0 - 360",Approved,1997,"Nega god, spirit of forest vegetation."
Hedetet,Ganymede,106.00,-32.91,251.01,"Planetographic, +West, 0 - 360",Approved,2000,Egyptian scorpion goddess.
Heliopolis Facula,Ganymede,50.00,18.50,147.00,"Planetographic, +West, 0 - 360",Approved,1997,Sacred Egyptian city of the sun.
Hermopolis Facula,Ganymede,260.00,22.30,195.30,"Planetographic, +West, 0 - 360",Approved,1997,Place where Unut was worshipped.
Hershef,Ganymede,120.00,47.39,269.38,"Planetographic, +West, 0 - 360",Approved,2000,Egyptian ram-headed god.
Humbaba,Ganymede,40.00,-55.15,67.31,"Planetographic, +West, 0 - 360",Approved,2000,Babylonian terrifying guardian of the cedar forests.
Hursag Sulcus,Ganymede,2183.00,-9.49,248.46,"Planetographic, +West, 0 - 360",Approved,1985,Sumerian mountain where winds dwell.
Ilah,Ganymede,76.00,22.00,160.62,"Planetographic, +West, 0 - 360",Approved,1985,First Sumerian sky god.
Ilus,Ganymede,90.00,-13.46,110.43,"Planetographic, +West, 0 - 360",Approved,1985,Ganymede's brother.
Irkalla,Ganymede,117.00,-32.52,114.84,"Planetographic, +West, 0 - 360",Approved,1985,"Sumerian goddess of underworld, seen by Enkidu in a dream."
Ishkur,Ganymede,67.00,0.37,8.37,"Planetographic, +West, 0 - 360",Approved,1985,Sumerian god of rain.
Isimu,Ganymede,89.50,8.50,360.00,"Planetographic, +West, 0 - 360",Approved,1985,Sumerian god of vegetation.
